zbest_b_[j]	EBV_b_[j]	e_EBV_[j]	E_EBV_[j]	SFR_b_[j]	e_SFR_[j]	E_SFR_[j]	Mstar_b_[j]	e_Mstar_[j]	E_Mstar_[j]	RA_b_[j]	DEC_b_[j]	SDSS_NAME_[i]	RA_[i]	Dec_[i]	REDSHIFT_[i]	LOG_MBH_[i]	LOG_MBH_ERR_[i]	LOG_LBOL_[i]	LOG_REDD_[i]  LE[j]   LSbc[j]
0.8360	0.0398	0.0102	0.0102	4.578e+00	0.9270000000000005	0.9279999999999999	2.140e+10	6630000000.0	6640000000.0	20.02191	28.22187	012005.27+281318.4	20.021995	28.221792	0.836	7.824897771845741	0.16850691127843948	45.033739774808424	-0.931037083438554  0.0 2.915e+45
0.8740	0.0221	0.0057	0.0058	1.605e+01	1.3900000000000006	1.3900000000000006	3.291e+11	28500000000.0	28400000000.0	20.79061	-0.60291	012309.74-003610.3	20.790616	-0.60288182	0.874	7.990104736693095	0.17444809471025813	45.42391976259477	-0.7060640604995607  0.0 2.035e+45
0.8640	0.0882	0.022699999999999998	0.0228	-9.990e+02	0.0	0.0	-9.990e+02	0.0	0.0	21.65029	-5.54284	012636.07-053234.2	21.650302	-5.5428614	0.864	7.894189791933357	0.16562218252382938	45.20174228796139	-0.8323265903732066  0.0 9.747e+44
0.8640	0.0144	0.0037999999999999996	0.003700000000000002	2.495e+01	0.08999999999999986	0.08999999999999986	5.116e+11	1900000000.0	1900000000.0	21.71427	24.3577	012651.42+242127.7	21.71426	24.357693	0.864	8.442973655893766	0.03823483219098852	45.40730462825512	-1.1755481140398845  0.0 1.371e+46
0.8180	0.0000	0.0	0.005	2.962e+01	0.9600000000000009	0.9599999999999973	3.844e+11	12500000000.0	12500000000.0	21.87327	19.50412	012729.61+193014.5	21.873386	19.504038	0.818	8.75497507439727	0.053116228311295234	45.82207668569421	-1.0727774751042942  4.166e+44 1.277e+44
0.8925	0.0000	0.0	0.005	1.144e+01	3.5729999999999995	3.58	1.485e+11	7900000000.0	8000000000.0	21.92079	-1.20327	012741.00-011211.9	21.920833	-1.2033175	0.8925	7.751436183650054	0.3940985470927833	44.793812002393395	-1.0975032676578966  0.0 4.625e+45
0.8160	0.3081	0.08109999999999998	0.0811	4.200e+01	1.5700000000000003	1.5700000000000003	2.006e+11	7500000000.0	7500000000.0	22.17069	-2.81	012840.97-024836.1	22.170708	-2.8100266	0.816	8.322978243807576	0.1781204104158057	45.129478347680305	-1.3333789825285083  0.0 0.0
0.8330	0.0242	0.006200000000000001	0.0063	7.082e+00	1.383	1.383	5.852e+10	8160000000.0	8160000000.0	23.24794	21.43443	013259.49+212604.0	23.247916	21.434457	0.833	8.292103680245841	0.14256655431575635	45.396295288508654	-1.0356874781384244  0.0 1.241e+45
0.8733	0.0561	0.014899999999999997	0.014800000000000008	5.575e+01	6.5	6.509999999999998	2.606e+11	118600000000.0	118700000000.0	24.56739	14.07548	013816.16+140431.6	24.56741	14.075479	0.8733	8.4452351815408	0.09077388464014295	45.74725487292106	-0.837859395020976  4.133e+44 0.0
0.8854	0.1400	0.03710000000000001	0.037099999999999994	2.813e+01	0.0799999999999983	0.08000000000000185	5.594e+11	1600000000.0	1600000000.0	26.54101	0.72251	014609.84+004321.1	26.54099	0.72253941	0.8854	9.339700248460556	0.05563418886157452	45.8809949044234	-1.5985844304383898  3.722e+44 0.0
